song_id,bpm,energy,danceability,db,liveness,valence,length,acousticness,speechiness,popularity
279,80,97,73,-2,18,97,235,10,7,79
280,112,78,58,-5,8,60,281,28,4,40
281,81,41,66,-9,16,37,386,60,3,43
282,130,49,95,-8,23,59,376,1,23,55
283,98,73,60,-7,14,29,264,1,3,72
284,205,47,38,-12,9,31,190,34,5,34
285,100,83,71,-5,6,97,243,39,4,66
286,134,88,63,-5,17,49,242,4,4,40
287,127,93,42,-4,13,29,210,0,12,80
288,68,47,35,-9,66,20,150,94,4,47
289,115,89,74,-4,9,96,203,8,5,64
290,125,74,69,-6,8,84,197,15,3,42
291,171,64,46,-6,19,29,229,25,6,62
292,103,95,54,-4,38,78,174,0,4,58
293,90,39,53,-8,9,16,217,65,3,75
294,116,88,74,-6,42,33,317,0,4,66
295,90,52,63,-6,35,43,249,11,3,68
296,141,92,58,-5,20,77,177,0,6,40
297,87,68,57,-8,18,67,268,36,3,38
298,136,98,54,-8,8,52,225,17,5,61
299,87,65,61,-8,5,79,259,23,5,52
300,179,54,29,-8,12,16,251,29,4,39
301,111,84,62,-5,18,26,343,26,4,71
302,131,96,62,-5,51,97,217,13,4,47
303,149,81,52,-4,12,53,192,0,3,42
304,128,30,48,-9,11,30,281,85,4,43
305,96,63,66,-10,60,84,215,21,6,53
306,135,80,56,-8,9,58,245,0,6,73
307,110,78,65,-5,22,57,137,14,3,63
308,78,14,26,-14,10,14,345,87,3,65
309,131,90,61,-7,17,39,209,18,4,57
310,138,62,49,-7,11,42,242,9,3,78
311,123,93,45,-4,36,17,303,0,7,76
312,138,84,47,-4,16,48,220,0,3,43
313,106,68,38,-9,18,65,136,6,3,63
314,170,68,44,-7,9,19,295,46,3,57
315,100,63,63,-12,4,87,245,4,7,77
316,140,82,42,-4,15,63,194,0,6,65
317,122,97,45,-5,10,20,217,3,11,74
318,74,63,46,-7,40,59,239,9,2,63
319,186,40,32,-9,22,23,296,63,4,35
320,81,56,37,-11,97,42,224,75,5,54
321,124,56,80,-10,6,96,204,9,4,72
322,108,75,62,-6,11,83,226,41,3,57
323,76,58,35,-8,12,11,223,6,4,61
324,150,81,49,-5,12,25,252,4,8,69
325,136,93,54,-6,36,45,246,1,5,63
326,164,54,78,-6,22,68,274,3,6,48
327,150,92,35,-2,34,54,226,0,5,53
328,87,78,36,-8,38,58,236,1,4,53
329,122,67,63,-7,28,48,298,64,3,43
330,130,70,79,-10,8,86,451,0,6,73
331,120,49,60,-7,12,9,270,50,3,72
332,72,87,43,-3,40,73,214,5,7,74
333,144,44,47,-11,32,31,281,60,4,52
334,151,46,69,-8,11,72,242,60,5,82
335,98,68,62,-6,8,41,190,35,2,59
336,117,18,54,-13,11,13,343,75,5,56
337,100,80,71,-6,8,63,259,1,4,76
338,135,77,47,-7,11,9,347,6,5,63
339,75,41,33,-7,10,7,276,61,3,41
340,114,30,70,-17,10,23,332,4,3,52
341,105,86,64,-7,87,47,250,23,7,52
342,146,40,38,-7,10,19,256,78,3,49
343,88,87,25,-4,12,13,268,5,5,56
344,104,59,56,-5,13,14,268,21,3,78
345,96,91,56,-2,35,73,282,2,4,76
346,114,89,59,-6,51,70,312,1,3,53
347,82,25,53,-16,12,34,197,52,3,61
348,82,48,68,-10,9,45,209,63,3,76
349,120,91,55,-4,35,54,224,3,5,77
350,171,48,26,-8,11,7,319,4,3,62
351,85,58,50,-11,14,30,279,11,3,40
352,130,49,41,-9,96,15,296,51,3,38
353,153,91,54,-6,14,37,203,0,5,79
354,182,24,19,-13,11,11,226,24,3,49
355,172,66,45,-4,8,37,236,8,3,67
356,106,73,79,-5,10,94,200,0,3,55
357,172,76,45,-5,10,54,224,0,3,78
358,174,45,46,-11,8,42,257,16,3,74
359,143,83,44,-7,32,65,322,5,3,66
360,81,39,14,-13,10,30,404,30,5,43
361,139,71,82,-7,61,77,223,1,18,80
362,144,77,51,-6,17,57,210,0,4,36
363,132,84,61,-7,8,54,236,0,4,40
364,137,33,51,-11,18,27,198,72,11,58
365,186,54,30,-8,12,54,203,16,4,50
366,169,88,35,-5,12,41,202,3,20,57
367,108,74,59,-8,18,29,379,51,3,55
368,153,84,32,-4,8,22,258,0,5,43
369,119,81,85,-5,12,78,237,12,8,69
370,131,91,47,-7,25,29,245,0,4,47
371,94,50,51,-8,39,42,232,61,3,47
372,93,93,44,-3,8,40,203,1,5,62
373,83,53,66,-9,14,61,230,89,17,49
374,119,92,70,-4,8,71,295,0,4,79
375,110,80,58,-8,5,42,226,0,4,49
376,140,55,56,-7,17,19,273,19,3,71
377,199,36,28,-13,14,33,205,61,4,33
378,117,73,49,-9,16,83,236,0,9,61
379,90,66,54,-8,55,49,214,14,4,48
380,138,89,56,-5,32,96,183,54,4,41
381,116,59,68,-7,8,64,235,1,3,65
382,96,52,32,-7,16,25,238,48,2,34
383,94,18,56,-13,7,25,223,81,3,34
384,82,47,41,-7,10,39,210,56,3,61
385,105,59,43,-6,24,15,330,2,3,45
386,123,70,61,-9,33,48,320,2,13,75
387,123,73,48,-8,11,87,140,57,17,65
388,97,55,74,-9,6,35,328,51,3,72
389,92,81,70,-5,13,58,290,36,3,59
